year,year_rank,group_name,artist,song_name,id
1986,20,Steve Winwood,Steve Winwood,Higher Love,3102
1986,21,Huey Lewis and The News,Huey Lewis and The News,Stuck With You,3103
1986,22,Simply Red,Simply Red,Holding Back The Years,3104
1986,23,Peter Gabriel,Peter Gabriel,Sledgehammer,3105
1986,24,Starship,Starship,Sara,3106
1986,25,Human League,Human League,Human,3107
1986,26,Nu Shooz,Nu Shooz,I Can't Wait,3108
1986,27,Berlin,Berlin,Take My Breath Away,3109
1986,28,Falco,Falco,Rock Me Amadeus,3110
1986,29,Madonna,Madonna,Papa Don't Preach,3111
1986,30,Bon Jovi,Bon Jovi,You Give Love A Bad Name,3112
1986,31,Billy Ocean,Billy Ocean,When The Going Gets Tough,3113
1986,32,Janet Jackson,Janet Jackson,When I Think Of You,3114
1986,33,Heart,Heart,These Dreams,3115
1986,34,Glass Tiger,Glass Tiger,Don't Forget Me (When I'm Gone),3116
1986,35,Madonna,Madonna,Live To Tell,3117
1986,36,Belinda Carlisle,Belinda Carlisle,Mad About You,3118
1986,37,Level 42,Level 42,Something About You,3119
1986,38,Bananarama,Bananarama,Venus,3120
1986,39,Lionel Richie,Lionel Richie,Dancing On The Ceiling,3121
1986,40,Miami Sound Machine,Miami Sound Machine,Conga,3122
1986,41,Cyndi Lauper,Cyndi Lauper,True Colors,3123
1986,42,Kenny Loggins,Kenny Loggins,Danger Zone,3124
1986,43,Janet Jackson,Janet Jackson,What Have You Done For Me Lately,3125
1986,44,Howard Jones,Howard Jones,No One Is To Blame,3126
1986,45,Sly Fox,Sly Fox,Let's Go All The Way,3127
1986,46,Robert Palmer,Robert Palmer,I Didn't Mean To Turn You On,3128
1986,47,Miami Sound Machine,Miami Sound Machine,Words Get In The Way,3129
1986,48,Bangles,Bangles,Manic Monday,3130
1986,49,Dire Straits,Dire Straits,Walk Of Life,3131
1986,50,Boston,Boston,Amanda,3132
1986,51,Stacey Q,Stacey Q,Two Of Hearts,3133
1986,52,Jets,Jets,Crush On You,3134
1986,53,Orchestral Manoeuvres In The Dark,Orchestral Manoeuvres In The Dark,If You Leave,3135
