year,year_rank,group_name,artist,song_name,id
2012,66,Carrie Underwood,Carrie Underwood,Good Girl,6295
2012,16,Flo Rida,Flo Rida,Good Feeling,6223
2012,6,The Wanted,The Wanted,Glad You Came,6211
2012,39,Demi Lovato,Demi Lovato,Give Your Heart A Break,6260
2012,47,Psy,Psy,Gangnam Style,6269
2012,98,Jason Aldean,Jason Aldean,Fly Over States,6331
2012,42,Calvin Harris,Calvin Harris,Feel So Close,6264
2012,22,Neon Trees,Neon Trees,Everybody Talks,6230
2012,99,Eli Young Band,Eli Young Band,Even If It Breaks Your Heart,6332
2012,53,Luke Bryan,Luke Bryan,Drunk On You,6278
2012,19,Train,Train,Drive By,6226
2012,78,Kirko Bangz,Kirko Bangz,Drank In My Cup,6307
2012,56,Chris Brown,Chris Brown,Don't Wake Me Up,6282
2012,46,Jessie J,Jessie J,Domino,6268
2012,85,Ke$ha,Ke$ha,Die Young,6315
2012,94,Rihanna,Rihanna,Diamonds,6327
2012,57,Big Sean feat. Nicki Minaj,Big Sean,Dance (A$$),6283
2012,57,Big Sean feat. Nicki Minaj,Nicki Minaj,Dance (A$$),6284
2012,76,Kenny Chesney,Kenny Chesney,Come Over,6305
2012,72,Usher,Usher,Climax,6301
2012,92,Ca$h Out,Ca$h Out,Cashin' Out,6325
2012,2,Carly Rae Jepsen,Carly Rae Jepsen,Call Me Maybe,6205
2012,100,Linkin Park,Linkin Park,Burn It Down,6333
2012,59,Karmin,Karmin,Brokenhearted,6286
2012,28,Justin Bieber,Justin Bieber,Boyfriend,6241
2012,70,Carrie Underwood,Carrie Underwood,Blown Away,6299
2012,37,P!nk,P!nk,Blow Me (One Last Kiss),6257
2012,79,Rihanna feat. Chris Brown,Rihanna,Birthday Cake,6308
2012,79,Rihanna feat. Chris Brown,Chris Brown,Birthday Cake,6309
2012,62,Pitbull,Pitbull,Back In Time,6290
2012,51,Gym Class Heroes feat. Neon Hitch,Gym Class Heroes,Ass Back Home,6275
2012,51,Gym Class Heroes feat. Neon Hitch,Neon Hitch,Ass Back Home,6276
2012,34,Justin Bieber feat. Big Sean,Justin Bieber,As Long as You Love Me,6251
2012,34,Justin Bieber feat. Big Sean,Big Sean,As Long as You Love Me,6252
2012,97,Miguel,Miguel,Adorn,6330
2012,87,Christina Perri,Christina Perri,A Thousand Years,6319
2012,81,Train,Train,50 Ways To Say Goodbye,6311
2012,86,T-Pain feat. Wiz Khalifa and Lily Allen,T-Pain,5 O'Clock,6316
2012,86,T-Pain feat. Wiz Khalifa and Lily Allen,Wiz Khalifa,5 O'Clock,6317
2012,86,T-Pain feat. Wiz Khalifa and Lily Allen,Lily Allen,5 O'Clock,6318
